Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Компьютерное моделирование в промышленном дизайне;Аббасов Ифтихар Балакиши оглы;ДМК-Пресс;1340;2233;40;На складе
Усовершенствованные структуры данных;Брасс Петер;ДМК-Пресс;3350;5583;40;На складе
Математическое моделирование физико-химических процессов в среде Comsol Multiphysics 5.2;Коваленко Анна Владимировна и др.;Лань: Учебники для вузов. Специальная литература;3537;0;0;Ограничено
Математические методы защиты информации и их основы. Сборник задач. Учебное пособие;Рацеев Сергей Михайлович;Лань: Информационная безопасность;1583;0;0;На складе
Математические методы защиты информации и их основы. Сборник задач;Рацеев Сергей Михайлович;Лань: Информационная безопасность;1819;0;0;На складе
Информационно-коммуникационные технологии в профессиональной деятельности. Сетевой дискурс;Бушев Александр Борисович;Лань: Общественные и гуманитарные науки;1633;0;0;На складе
Компьютерные сети. Шестое издание;Таненбаум Эндрю и др.;Питер: Классика computer science;3830;4910;22;На складе
Рекурсивная книга о рекурсии;Свейгарт Эл;Питер: Библиотека программиста;2268;2908;22;На складе
Решение задач стрельбы и баллистики с использованием MS Excel и VBA;Кильдишов Вячеслав Дмитриевич, Пунин И. П.;Солон-пресс: Библиотека студента;1173;1955;40;На складе
Blender. Новый уровень мастерства;Лоттер Руан;ДМК-Пресс;3350;5583;40;На складе
Применение алгоритмов машинного обучения для исследования конкурентоспособности организаций;Бесхмельнов Максим Игоревич;Солон-пресс: Библиотека профессионала;671;1118;40;На складе
Асимптотический анализ поведения прикладных моделей машинного обучения. Учебное пособие;Протодьяконов Андрей Владимирович и др.;Инфра-Инженерия;1038;1730;40;На складе
MySQL по максимуму;Ботрос Сильвия, Тинли Джереми;Питер: Бестселлеры O`Reilly;2921;3745;22;На складе
Software. Ошибки и компромиссы при разработке ПО;Лелек Томаш, Скит Джон;Питер: Библиотека программиста;3262;4182;22;На складе
Python для хакеров. Нетривиальные задачи и проекты;Воган Ли;Питер: Библиотека программиста;1972;2528;22;На складе
Методы линейного программирования;Божко Аркадий Николаевич и др.;Издательство МГТУ им. Н.Э.Баумана;488;814;40;Ограничено
Конфликтно-активное управление проектами развития систем обеспечения информационной безопасности;Новосельцев Виктор Иванович и др.;ИНФРА-М: Научная мысль;1710;2850;40;На складе
Рисунок. От теории к практике. Мастер-классы по развитию чувства цвета, света, композиции;;Бомбора: Учимся рисовать на компьютере и планшете;1499;2053;27;На складе
Моделирование и управление процессами цифровизации в условиях неопределенности. Учебное пособие;Прокопчина Светлана Васильевна;ИД Научная библиотека: Искусственный интеллект, теория изменений;776;1294;40;На складе
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей;Антонопулос Андреас М. и др.;ДМК-Пресс;3350;5583;40;На складе
Паттерны проектирования API;Гивакс Джей Джей;Питер: Библиотека программиста;3334;4274;22;На складе
PostgreSQL 15 изнутри;Рогов Егор Валерьевич;ДМК-Пресс;2931;4885;40;Ограничено
Apache Kafka. Потоковая обработка и анализ данных;Шапира Гвен и др.;Питер: Бестселлеры O`Reilly;3086;3956;22;На складе
Python и анализ данных;МакКинни Уэс;ДМК-Пресс;3016;5026;40;На складе
Алгоритмы;Эриксон Джефф;ДМК-Пресс;3350;5583;40;На складе
Алгоритмы принятия решений;Кохендерфер Майкл и др.;ДМК-Пресс;4187;6979;40;На складе
Структура и интерпретация классической механики;Сассман Джеральд Джей, Уиздом Джек;ДМК-Пресс;2512;4187;40;На складе
Идиомы bash;Олбинг Карл, Фоссен Джей Пи;Питер: Бестселлеры O`Reilly;1417;1817;22;На складе
1C. Бухгалтерия предприятия 8.2. Практическое пособие;Селищев Николай Викторович и др.;Кнорус;1342;2237;40;Ограничено
Основы надежности вычислительных систем. Учебное пособие;Королев Павел Сергеевич и др.;Кнорус;1219;2032;40;Ограничено
Управление рисками в сфере IT;Щербак Алексей Викторович;ИНФРА-М: Научная мысль;1855;3092;40;На складе
Ноутбук и компьютер совсем просто и очень быстро. Современное руководство для любого возраста;Жуков Иван;АСТ: Новейший самоучитель;442;605;27;На складе
