Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Формирование системы обеспечения безопасности киберпространства. Монография;Мартиросян Аревик Жораевна;Проспект;547;995;45;Ограничено
Основы информационных технологий. Учебное пособие;Гагарина Лариса Геннадьевна и др.;ИНФРА-М: Среднее профессиональное образование;2129;3549;40;На складе
Интернет-технологии. Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М: Высшее образование. Бакалавриат;1661;2769;40;На складе
Профессия «бизнес-аналитик». Краткое пособие для начинающих;Миронов Вадим;Олимп-Бизнес;751;1366;45;На складе
Информатика и информационные технологии в профессиональной деятельности. Учебник;Филимонова Елена Викторовна;Юстиция: Среднее профессиональное образование;1219;2032;40;Ограничено
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов;Цирулик Владимир Григорьевич;Лань: Компьютеры и программное обеспечение;4170;0;0;На складе
Информационное моделирование. Часть 2. Переход к цифровому проектированию и строительству;Бачурина Светлана Самуиловна;ДМК-Пресс;837;1395;40;На складе
Как на самом деле работают компьютеры;Джастис Мэтью;ДМК-Пресс;2512;4187;40;На складе
Основы Microsoft Azure. Подготовка к экзамену AZ-900;Чешир Джим;ДМК-Пресс;2009;3349;40;На складе
Практический анализ двоичных файлов;Эндриесс Дэннис;ДМК-Пресс;2848;4746;40;На складе
Основы Microsoft Azure. Подготовка к экзамену AZ-900;Чешир Джим;ДМК-Пресс;2009;3349;40;На складе
Практический анализ двоичных файлов;Эндриесс Дэннис;ДМК-Пресс;2848;4746;40;На складе
Изучаем C# через разработку игр на Unity;Ферроне Харрисон;Питер: Библиотека программиста;1830;2346;22;На складе
Великий Китайский Файрвол;Гриффитс Джеймс;Бомбора: Кругозор Дениса Пескова;760;1041;27;На складе
Время быть Agile;Михайленко Марина Феликсовна;Бомбора: Проектный менеджмент;564;773;27;На складе
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие;Коренская Ирина Николаевна;Лань: Компьютеры и программное обеспечение;1647;0;0;На складе
Гибкие оптические сети. Учебное пособие;Фокин Владимир Григорьевич, Ибрагимов Роман Захирович;Лань: Компьютеры и программное обеспечение;3549;0;0;Ограничено
Исследование операций. Том 1. Линейное программирование. Учебник для вузов;Трушков Александр Сергеевич;Лань: Компьютеры и программное обеспечение;3059;0;0;На складе
Технологии интеллектуального анализа данных. Учебник;Алексеев Дмитрий Станиславович, Щекочихин Олег Владимирович;Лань: Компьютеры и программное обеспечение;2404;0;0;На складе
Цифровая гигиена;Ашманов Игорь Станиславович, Касперская Наталья Ивановна;Питер;1633;2093;22;На складе
Как программировать на С;Дейтел Харви, Дейтел Пол Дж.;Бином;2889;0;0;На складе
Adobe Photoshop для фотографов. Руководство по профессиональной обработке изображений;Ивнинг Мартин;ДМК-Пресс;4523;7539;40;На складе
Путь клиента. Создаем ценность продуктов и услуг через карты путей, блупринты и другие инструменты;Калбах Джим;Манн, Иванов и Фербер: Серия O Reilly;1461;2001;27;На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше;Сабиров Василий Константинович;Бомбора: Российский компьютерный бестселлер;1407;1928;27;На складе
Apache Airflow и конвейеры обработки данных;Харенслак Бас, Руйтер Джулиан де;ДМК-Пресс;3184;5306;40;На складе
Python для всех;Северанс Чарльз Р.;ДМК-Пресс;1172;1953;40;На складе
Управление высокотехнологичными программами и проектами;Арчибальд Рассел Д.;ДМК-Пресс;2009;3349;40;На складе
Использование языка Python в теории вероятности. Учебник;Криволапов Сергей Яковлевич;Прометей;1626;2957;45;На складе
Экономика на Python. Учебник;Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович;Прометей;1183;2151;45;На складе
Планшеты и смартфоны на Android. Простой и понятный самоучитель;Леонов Василий;Эксмо-Пресс: Компьютерный покет;213;292;27;На складе
Информатика. Практикум. Учебное пособие;Прохорский Георгий Владимирович;Кнорус: Среднее профессиональное образование;1464;2440;40;На складе
Дизайн-мышление. Канвасы и упражнения. Полный набор инструментов;Леврик Михаэль и др.;Питер: IT для бизнеса;1880;2410;22;На складе
Black Hat Python. Программирование для хакеров и пентестеров;Зейтц Джастин, Арнольд Тим;Питер: Библиотека программиста;1688;2164;22;На складе
Однострочники Python. Лаконичный и содержательный код;Майер Кристиан;Питер: Библиотека программиста;1688;2164;22;На складе
Проектирование сетевой инфраструктуры. Организация, принципы построения и функционирования;Тенгайкин Евгений Александрович;Лань: Учебники для вузов. Специальная литература;1585;0;0;На складе
Гид Java-разработчика. Проектно-ориентированный подход;Урма Рауль-Габриэль, Уорбэртон Ричард;Бомбора: Мировой компьютерный бестселлер;819;1122;27;На складе
Машинное обучение. Конструирование признаков. Принципы и техники для аналитиков;Чжен Элис, Казари Аманда;Бомбора: Мировой компьютерный бестселлер;819;1122;27;На складе
Основы мультимедийных технологий. Учебное пособие для вузов;Катунин Геннадий Павлович;Лань: Компьютеры и программное обеспечение;7804;0;0;Ограничено
Python и DevOps. Ключ к автоматизации Linux;Гифт Ной и др.;Питер: Бестселлеры O`Reilly;2561;3283;22;На складе
Прикладное программирование на С/С++: с нуля;Иванов Всеволод Борисович;Солон-пресс: Программирование;838;1397;40;На складе
Введение в логическое программирование;Дженесерет Майкл, Чаудри Винай К.;ДМК-Пресс;1508;2513;40;На складе
Наука о сетях. Вводный курс;Менцер Филиппо и др.;ДМК-Пресс;2680;4466;40;На складе
Параллельное программирование на C# и .NET Core;Шакти Танвар;ДМК-Пресс;1758;2930;40;На складе
Разработка игр на языке JavaScript. Учебное пособие;Беляев Сергей Алексеевич;Лань: Компьютеры и программное обеспечение;717;0;0;На складе
Информационная безопасность и защита информации. Учебник для СПО;Прохорова Ольга Витольдовна;Лань: Компьютеры и программное обеспечение;926;0;0;Ограничено
Методика моделирования динамики паротурбинной установки ТК-35/38-3,4 на базе кода HS;Щекатуров Александр Михайлович, Корсаков Александр Романович;ДМК-Пресс;1340;2233;40;Ограничено
Все о SCRUM. Изучение, разработка, интеграция;Обри Клод;Бомбора: Библиотека цифровой трансформации;965;1322;27;На складе
Adobe Photoshop СС. Официальный учебный курс;Фолкнер Эндрю, Чавез Конрад;Эксмо-Пресс: Мировой компьютерный бестселлер (обложка);2045;2801;27;На складе
Параллельные и высокопроизводительные вычисления;Роби Роберт, Замора Джулиана;ДМК-Пресс;4187;6979;40;На складе
Комплексное моделирование в программе CST SUITE;Курушин Александр Александрович, Алексейчик Леонард Валентинович;Солон-пресс: Системы проектирования;1006;1676;40;На складе
Основы информационной безопасности. Учебное пособие;Зенков Андрей Вячеславович;Инфра-Инженерия;612;1020;40;На складе
Теоретические основы информационных процессов. Учебное пособие для вузов;Гуменюк Александр Степанович, Поздниченко Николай Николаевич;Лань: Компьютеры и программное обеспечение;3635;0;0;На складе
Информатика. Учебник для СПО;Лопатин Валерий Михайлович, Кумков Сергей Сергеевич;Лань: Компьютеры и программное обеспечение;3710;0;0;На складе
Алгоритмы сжатия данных без потерь. Учебное пособие для вузов;Пантелеев Евгений Рафаилович, Алыкова Алевтина Леонидовна;Лань: Компьютеры и программное обеспечение;2721;0;0;Ограничено
Исследование операций в экономике. Практикум. Учебное пособие для вузов;Слабнов Виктор Дмитриевич;Лань: Компьютеры и программное обеспечение;3932;0;0;Ограничено
Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура;Персиваль Гарри, Грегори Боб;Питер: Для профессионалов;2127;2727;22;На складе
WebAssembly в действии;Галлан Жерар;Питер: Библиотека программиста;2823;3619;22;На складе
Тестирование программного обеспечения;Игнатьев Александр Владимирович;Лань: Компьютеры и программное обеспечение;742;0;0;На складе
Разработка моделей предметной области автоматизации. Учебник для вузов;Котлинский Сергей Владимирович;Лань: Компьютеры и программное обеспечение;4589;0;0;На складе
Разработка моделей предметной области автоматизации. Учебник для СПО;Котлинский Сергей Владимирович;Лань: Компьютеры и программное обеспечение;4151;0;0;На складе
Проектирование человеко-машинного взаимодействия. Учебное пособие для СПО;Игнатьев Александр Владимирович;Лань: Компьютеры и программное обеспечение;656;0;0;Ограничено
Информатика. Решение задач. Учебник для СПО;Москвитин Анатолий Алексеевич;Лань: Компьютеры и программное обеспечение;2842;0;0;На складе
Проектирование человеко-машинного взаимодействия. Учебник для вузов;Игнатьев Александр Владимирович;Лань: Компьютеры и программное обеспечение;742;0;0;На складе
Программные коллекции данных. Проектирование и реализация. Учебник;Романенко Татьяна Александровна;Лань: Компьютеры и программное обеспечение;2404;0;0;Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО;Романенко Татьяна Александровна;Лань: Компьютеры и программное обеспечение;2404;0;0;На складе
C# 9 и .NET 5. Разработка и оптимизация;Прайс Марк Дж.;Питер: Для профессионалов;3545;4545;22;На складе
Функциональное программирование. Учебник;Гордиенко Александр Петрович;Кнорус: Магистратура;1219;2032;40;Ограничено
Анализ данных (с применением программы SPSS). Бакалавриат. Учебник;Тихомиров Дмитрий Андреевич;Кнорус;1464;2440;40;На складе
Clojure на производстве;Гришаев Иван;ДМК-Пресс;1676;2793;40;На складе
Алгоритмы ГИС;Сяо Нинчуань;ДМК-Пресс;2009;3349;40;На складе
Изучаем SHINY;Уикем Хэдли;ДМК-Пресс;2680;4466;40;На складе
Простой и понятный самоучитель Word и Excel;Леонов Василий;Эксмо-Пресс: Компьютерный покет;219;300;27;На складе
Программирование. Учебник;Иванова Галина Сергеевна;Кнорус: Бакалавриат;1342;2237;40;Ограничено
Информатика и информационно-коммуникационные технологии в профессиональной деятельности;Шитов Виктор Николаевич;ИНФРА-М: Среднее профессиональное образование;1678;2796;40;На складе
Анализ поведенческих данных на R и PYTHON;Бюиссон Флоран;ДМК-Пресс;2512;4187;40;На складе
Оптимизация запросов PostgreSQL;Домбровская Генриэтта и др.;ДМК-Пресс;1758;2930;40;На складе
Разработка беспилотных транспортных средств;Лю Шаошань и др.;ДМК-Пресс;1841;3069;40;На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков;Тонг Вэнь и др.;ДМК-Пресс;3350;5583;40;На складе
Информационные технологии;Коноплева Ирина Аполлоновна и др.;Проспект;446;811;45;На складе
Методы защиты информации. Защищенные сети. Учебное пособие для вузов;Никифоров Сергей Николаевич;Лань: Компьютеры и программное обеспечение;1341;0;0;Ограничено
Медицинская информатика. Курс лекций. Учебное пособие для вузов;Обмачевская Светлана Николаевна;Лань: Здравоохранение;2109;0;0;Ограничено
Информационные технологии. Мультимедиа. Учебное пособие для вузов;Жук Юлия Александровна;Лань: Компьютеры и программное обеспечение;1878;0;0;Ограничено
Цифровизация математики в вузе. Монография;Зададаев Сергей Алексеевич и др.;Прометей;1626;2957;45;На складе
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат;Васильева Елена Викторовна, Громова Алла Александровна;Прометей;592;1076;45;На складе
Проектирование цифровых образовательных ресурсов;Коннова Лариса Петровна и др.;Прометей;1109;2016;45;На складе
Информатика в примерах и задачах. Выпуск 6. Microsoft Word 2016. Учебно-методическое пособие;Самыгина Татьяна Николаевна;Проспект;244;444;45;Ограничено
Классические задачи Computer Science на языке Java;Копец Дэвид;Питер: Библиотека программиста;1545;1981;22;На складе
Информационное моделирование: методолгия использования цифровых моделей. Часть 1;Бачурина Светлана Самуиловна;ДМК-Пресс;837;1395;40;На складе
Компьютерная нотная графика. Учебное пособие для СПО;Голованов Дмитрий Владимирович, Кунгуров Анатолий Владимирович;Планета музыки;2354;0;0;На складе
Head First. Паттерны проектирования;Фримен Эрик и др.;Питер: Head First (O'Reilly);2127;2727;22;На складе
Web-программирование на JavaScript. Учебное пособие для СПО;Диков Андрей Валентинович;Лань: Компьютеры и программное обеспечение;1901;0;0;На складе
Медицинская информатика. Учебник для ВУЗов;Зарубина Татьяна Васильевна и др.;ГЭОТАР-Медиа;2869;4782;40;На складе
Автоматизация рутинных задач с помощью Python;Свейгарт Эл;Диалектика;3227;5378;40;На складе
Алгоритмы. Теория и практическое применение;Стивенс Род;Эксмо: Мировой компьютерный бестселлер;1268;1737;27;На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям;Граймс Роджер А.;ДМК-Пресс;2009;3349;40;На складе
Облачный GO;Титмус Мэтью А.;ДМК-Пресс;2512;4187;40;На складе
{Вы пока еще не знаете JS} Познакомьтесь, JavaScript;Симпсон Кайл;Питер: Библиотека программиста;1121;1437;22;На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания;Симпсон Кайл;Питер: Библиотека программиста;1192;1528;22;На складе
PANN. Прорывная технология искусственного интеллекта;Злотин Борис и др.;Билингва: Инвестируем в будущее;980;0;0;На складе
Паттерны программирования игр;Нистрем Роберт;Бомбора: Мировой компьютерный бестселлер;1499;2053;27;На складе
React. Современные шаблоны для разработки приложений;Бэнкс Алекс, Порселло Ева;Питер: Бестселлеры O`Reilly;1945;2493;22;На складе
Как программировать на С++;Дейтел Харви, Дейтел Пол Дж.;Бином;2889;0;0;На складе
Искусственный интеллект. Современный подход. Том 2. Знания и рассуждения в условиях неопределенности;Рассел Стюарт, Норвиг Питер;Вильямс;4840;8066;40;На складе
Обработка и представление данных в MS Excel. Учебное пособие;Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна;Лань: Учебники для вузов. Специальная литература;1801;0;0;Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;2621;0;0;На складе
Информационные технологии. Учебник;Демидов Лев Николаевич и др.;Кнорус: Бакалавриат;1097;1828;40;Ограничено
Криптографические методы защиты информации. Лабораторный практикум. Учебное пособие (+ еПриложение);Баранова Елена Константиновна, Бабаш Александр Владимирович;Кнорус: Бакалавриат и магистратура;976;1626;40;Ограничено
ASP.NET CORE в действии;Лок Эндрю;ДМК-Пресс;3434;5723;40;На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100;Маслюк Даниил;ДМК-Пресс;2009;3349;40;На складе
Программирование на PHP в примерах и задачах;Васильев Алексей;Эксмо-Пресс: Российский компьютерный бестселлер;965;1322;27;На складе
Agile-трансформация. Готовый план перехода к гибкой бизнес-модели организации;Хейворд Саймон;Бомбора: Top Business Awards;1117;1530;27;На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов;Воскобойников Юрий Евгеньевич;Лань: Компьютеры и программное обеспечение;3157;0;0;На складе
Информатика. Лабораторный практикум. Часть 2. Учебное пособие для вузов;Галыгина Ирина Владимировна, Галыгина Лилия Владимировна;Лань: Компьютеры и программное обеспечение;2621;0;0;На складе
Информатика. Лабораторный практикум. Часть 2. Учебное пособие для СПО;Галыгина Ирина Владимировна, Галыгина Лилия Владимировна;Лань: Компьютеры и программное обеспечение;2621;0;0;Ограничено
Инженерные расчеты. Книга-билингва. Учебное пособие;Очков Валерий Федорович и др.;Лань: Компьютеры и программное обеспечение;3932;0;0;На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.;Романов Петр Сергеевич, Романова Ирина Петровна;Лань: Компьютеры и программное обеспечение;1529;0;0;Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие для СПО;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;2621;0;0;Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО;Алексеев Владимир Анатольевич;Лань: Компьютеры и программное обеспечение;2404;0;0;Ограничено
Социальные аспекты информационной безопасности. Лабораторный практикум. Учебное пособие для вузов;Галыгина Ирина Владимировна, Галыгина Лилия Владимировна;Лань: Компьютеры и программное обеспечение;1311;0;0;Ограничено
Социальные аспекты информационной безопасности. Лабораторный практикум. Учебное пособие для СПО;Галыгина Ирина Владимировна, Галыгина Лилия Владимировна;Лань: Компьютеры и программное обеспечение;1202;0;0;Ограничено
Теория принятия решений. Учебное пособие для СПО;Ганичева Антонина Валериановна, Ганичев Алексей Валерианович;Лань: Компьютеры и программное обеспечение;1966;0;0;Ограничено
Управление качеством программного продукта. Учебное пособие для СПО;Сорока Елена Георгиевна;Лань: Компьютеры и программное обеспечение;1749;0;0;На складе
Управление качеством программного продукта. Учебное пособие для вузов;Сорока Елена Георгиевна;Лань: Компьютеры и программное обеспечение;1749;0;0;На складе
Введение в теоретико-числовые методы криптографии. Учебное пособие для СПО;Глухов Михаил Михайлович и др.;Лань: Компьютеры и программное обеспечение;2789;0;0;На складе
Ghidra. Полное руководство;Игл Крис, Нэнс Кара;ДМК-Пресс;3518;5863;40;На складе
Изучаем WinUI 3.0;Эшкрафт Элвин;ДМК-Пресс;1676;2793;40;На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений;Антонопулос Андреас М., Вуд Гэвин;Бомбора: Мировой компьютерный бестселлер;2078;2846;27;На складе
Библия Linux. 10-е издание;Негус Кристофер;Питер: Для профессионалов;4055;5199;22;На складе
SQL за 10 минут;Форта Бен;Вильямс;1613;2688;40;Ограничено
Смартфон и планшет для тех, кому за... Новые приложения и онлайн-услуги;Зелинский Сергей и др.;Клуб семейного досуга;711;1293;45;Ограничено
Программируем на C# 8.0. Разработка приложений;Гриффитс Иэн;Питер: Бестселлеры O`Reilly;4099;5255;22;На складе
C# 9.0. Справочник. Полное описание языка;Албахари Джозеф;Диалектика;5699;9498;40;На складе
Изучаем квантовые вычисления на Python и Q#;Кайзер Сара, Гранад Кристофер;ДМК-Пресс;2345;3908;40;На складе
Информатика. Учебник;Яшин Владимир Николаевич, Колоденкова Анна Евгеньевна;ИНФРА-М: Высшее образование. Бакалавриат;3799;6331;40;На складе
Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие;Ощепков Александр Юрьевич;Лань: Учебники для вузов. Специальная литература;2780;0;0;На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах;Сапожников Валерий Владимирович и др.;Наука;1274;2123;40;На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО;Старолетов Сергей Михайлович;Лань: Компьютеры и программное обеспечение;2864;0;0;На складе
Информационные технологии. Учебное пособие;Коломейченко Алла Сергеевна и др.;Лань: Компьютеры и программное обеспечение;2497;0;0;На складе
Краткая история цифровизации;Burkhardt Martin;Ад Маргинем;902;0;0;На складе
Интегрированные системы управления объектами. Встроенные информационные системы;Григорьев Анатолий Алексеевич и др.;ИНФРА-М: Высшее образование. Бакалавриат;1556;2594;40;На складе
Компьютер и ноутбук для новичков. Большой понятный самоучитель. С самых азов, подробно;Жуков Иван;АСТ: Современный самоучитель;394;540;27;На складе
Гид по Computer Science, расширенное издание;Спрингер Вильям;Питер: Библиотека программиста;1185;1519;22;На складе
Unreal Engine 4 для дизайна и визуализации;Шэннон Том;Бомбора: Мировой компьютерный бестселлер;1772;2427;27;На складе
Информационные технологии. Учебник;Хлебников Андрей Александрович;Кнорус: Бакалавриат;1708;2846;40;Ограничено
Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных;Седжвик Роберт, Уэйн Кевин;Питер;2681;3437;22;На складе
Современные технологии и технические средства информатизации. Учебник;Шишов Олег Викторович;ИНФРА-М: Среднее профессиональное образование;2758;4597;40;На складе
Технические средства информатизации;Гагарина Лариса Геннадьевна, Золотухин Филипп Сергеевич;ИНФРА-М: Среднее профессиональное образование;1895;3159;40;На складе
Как работают компьютерные сети и интернет;Северанс Чарльз Р.;ДМК-Пресс;1088;1813;40;На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow;Ханнес Хапке, Нельсон Кэтрин;ДМК-Пресс;1758;2930;40;На складе
Технология программирования. Проектирование. Комплексное тестирование. Программная документация;Иванова Галина Сергеевна;Кнорус: Бакалавриат;1219;2032;40;Ограничено
Информационная безопасность. Учебник;Мельников Владимир Павлович, Куприянов Александр Ильич;Кнорус: Среднее профессиональное образование;1219;2032;40;Ограничено
Безопасность веб-приложений. Разведка, защита, нападение;Хоффман Эндрю;Питер: Бестселлеры O`Reilly;2521;3232;22;На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;Питер: Бестселлеры O`Reilly;2731;3501;22;На складе
Безопасно by Design;Берг Джонсон Дэн и др.;Питер: Библиотека программиста;2213;2837;22;На складе
Информационные технологии в профессиональной деятельности социологов;Онокой Людмила Сергеевна, Титов Виктор Михайлович;ИНФРА-М: Высшее образование. Бакалавриат;2500;4167;40;На складе
Информационные технологии в профессиональной деятельности;Ниматулаев Магамедхан Магомедович;ИНФРА-М: Высшее образование: Специалитет;1823;3038;40;На складе
Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М: Среднее профессиональное образование;2428;4046;40;На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;ИНФРА-М: Высшее образование. Бакалавриат;1597;2662;40;На складе
Искусство тестирования на проникновение в сеть;Дэвис Ройс;ДМК-Пресс;1841;3069;40;На складе
Построение пользовательских интерфейсов;Малышев Кирилл Викторович;ДМК-Пресс;1841;3069;40;На складе
Data Science для карьериста;Нолис Жаклин, Робинсон Эмили;Питер: Библиотека программиста;2459;3152;22;На складе
Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер: Для профессионалов;3105;3981;22;На складе
Информация как общенаучное понятие. Часть 2. Приложения;Воскресенский Анатолий Кириллович;ИНИОН РАН: Проблемы философии;488;814;40;На складе
Программная инженерия. Учебное пособие;Маран Михкель Михкелевич;Лань: Учебники для вузов. Специальная литература;2966;0;0;Ограничено
Базы данных. Проектирование, программирование, управление и администрирование. Учебник для СПО;Волк Владимир Константинович;Лань: Компьютеры и программное обеспечение;4558;0;0;На складе
Системы искусственного интеллекта. Учебное пособие;Бураков Михаил Владимирович;Проспект;656;1193;45;На складе
Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим и др.;ДМК-Пресс;1676;2793;40;На складе
Аналитика в Power BI с помощью R и Python;Уэйд Райан;ДМК-Пресс;2512;4187;40;На складе
Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;ДМК-Пресс;2848;4746;40;На складе
Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;ДМК-Пресс;2848;4746;40;На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич;Лань: Компьютеры и программное обеспечение;5183;0;0;На складе
Основы проектной деятельности. Учебное пособие для СПО;Земсков Юрий Петрович, Асмолова Екатерина Витальевна;Лань: Компьютеры и программное обеспечение;1984;0;0;На складе
Python, например;Лейси Никола;Питер: Библиотека программиста;1589;2037;22;На складе
Нейросемантика. Информационно-управленческие системы. Искусственный разум. Научные труды;Бодякин Владимир Ильич;Академический проект;1407;2345;40;На складе
Знакомство с программированием на языке Processing;Риас Кейси, Фрай Бен;ДМК-Пресс;1256;2093;40;На складе
Принятие решений и феномен неопределенности. Учебное пособие;Клименко Игорь Семенович;Лань: Компьютеры и программное обеспечение;2277;0;0;На складе
C#. Основы программирования (+CD). Учебное пособие для СПО;Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич;Лань: Компьютеры и программное обеспечение;3345;0;0;На складе
Практикум по информатике. Учебное пособие для СПО;Андреева Надежда Михайловна и др.;Лань: Компьютеры и программное обеспечение;2114;0;0;Ограничено
Информационные технологии. Теоретические основы. Учебник для СПО;Советов Борис Яковлевич, Цехановский Владислав Владимирович;Лань: Компьютеры и программное обеспечение;1975;0;0;Ограничено
JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа и др.;Питер: Библиотека программиста;3545;4545;22;На складе
Введение в язык Си++;Столяров Андрей Викторович;ДМК-Пресс;1004;1674;40;На складе
Оформление программного кода;Столяров Андрей Викторович;ДМК-Пресс;837;1395;40;На складе
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;ДМК-Пресс;3016;5026;40;На складе
Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;Бомбора: Книги-драйверы;796;1090;27;На складе
Мягкие вычисления и измерения. Том 5;Прокопчина Светлана Васильевна и др.;ИД Научная библиотека: Искусственный интеллект, теория изменений;887;1479;40;На складе
Мягкие вычисления и измерения. Том 4;Клейнер Георгий Борисович и др.;ИД Научная библиотека: Искусственный интеллект, теория изменений;766;1276;40;На складе
Мягкие вычисления и измерения. Том 3. Модели и методы. Монография;;ИД Научная библиотека: Искусственный интеллект, теория изменений;665;1109;40;На складе
Инфокоммуникационные системы и сети;Цехановский Владислав Владимирович и др.;Лань: Компьютеры и программное обеспечение;4841;0;0;На складе
Информационные технологии в управлении персоналом. Учебное пособие;Валеева Н. Ш. и др.;Кнорус: Бакалавриат;1097;1828;40;Ограничено
Введение в инфокоммуникационные технологии. Учебное пособие;Гагарина Лариса Геннадьевна и др.;ИНФРА-М: Высшее образование. Бакалавриат;2476;4127;40;На складе
Современные информационно-коммуникационные технологии для успешного ведения бизнеса. Учебное пособие;Романова Юлия Дмитриевна и др.;ИНФРА-М: Учебники для программы MBA;1863;3105;40;На складе
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Деловой двор;189;343;45;На складе
